Cidade;Inscritos 2019;Inscritos 2020;Inscritos 2021;Inscritos 2022
Americana;4138;4247;2587;2743
Amparo;1752;1788;1035;1276
Artur Nogueira;1625;1501;671;781
Campinas;21677;22276;11715;13320
Espírito Santo do Pinhal;736;621;447;450
Hortolândia;4411;4984;2058;2198
Indaiatuba;4405;4601;2533;2845
Itapira;1256;1305;780;747
Jaguariúna;1561;1556;799;980
Louveira;663;776;381;434
Mogi Guaçu;2057;2435;1321;1284
Mogi Mirim;1416;1536;942;895
Monte Mor;1106;1112;517;606
Paulínia;1971;2112;1184;1346
Pedreira;732;737;373;396
Socorro;1011;1064;475;555
Sumaré;4274;4789;2172;2231
Valinhos;2193;2314;1454;1595
Vinhedo;1468;1546;890;1001
Total;58452;61300;32334;35683
